rcid,session,date,unres,me,nu,di,hr,co,ec
5173,66,12/9/2011,R/66/79,1,0,0,1,1,0
5220,67,12/18/2012,R/67/121,1,0,0,1,1,0
5281,68,12/11/2013,R/68/83,1,0,0,1,1,0
5358,69,12/5/2014,R/69/93,1,0,0,1,0,0
5438,70,12/9/2015,R/70/90,1,0,0,1,0,0
4875,63,12/5/2008,R/63/98,1,0,0,1,1,0
4553,59,12/10/2004,R/59/124,1,0,0,1,1,0
4080,52,12/4/1997,R/52/67,1,0,0,1,1,0
4210,54,12/2/1999,R/54/79,1,0,0,1,1,0
4292,55,12/7/2000,R/55/133,1,0,0,1,1,0
4342,56,12/3/2001,R/56/62,1,0,0,1,1,0
4036,51,3/5/1997,R/51/223,1,0,0,0,0,0
4127,53,12/5/1998,R/53/55,1,0,0,0,0,0
4718,61,12/14/2006,R/61/118,1,0,0,1,1,0
4719,61,12/14/2006,R/61/119,1,0,0,1,1,0
4554,59,12/10/2004,R/59/123,1,0,0,0,1,0
4412,57,12/5/2002,R/57/126,1,0,0,0,1,0
4482,58,12/9/2003,R/58/98,1,0,0,1,1,0
4647,60,12/8/2005,R/60/106,1,0,0,1,1,0
4881,63,12/5/2008,R/63/97,1,0,0,1,1,0
5012,64,12/10/2009,R/64/93,1,0,0,1,1,0
5084,65,12/10/2010,R/65/104,1,0,0,1,1,0
5172,66,12/9/2011,R/66/78,1,0,0,1,1,0
5219,67,12/18/2012,R/67/120,1,0,0,1,1,0
5282,68,12/11/2013,R/68/82,1,0,0,1,1,0
5357,69,12/5/2014,R/69/92,1,0,0,1,1,0
5437,70,12/9/2015,R/70/89,1,0,0,1,1,0
4079,52,12/4/1997,R/52/66,1,0,0,1,1,0
4209,54,12/2/1999,R/54/78,1,0,0,1,1,0
4291,55,12/7/2000,R/55/132,1,0,0,1,1,0
4341,56,12/3/2001,R/56/61,1,0,0,1,1,0
4795,62,12/17/2007,R/62/108,1,0,0,1,1,0
4513,58,12/3/2003,R/58/22,1,0,0,0,0,0
4584,59,12/1/2004,R/59/32,1,0,0,0,0,0
4658,60,12/1/2005,R/60/41,1,0,0,0,0,0
4671,61,12/1/2006,R/61/26,1,0,0,0,0,0
4836,63,11/26/2008,R/63/30,1,0,0,0,0,0
4985,64,12/2/2009,R/64/20,1,0,0,0,0,0
5055,65,11/30/2010,R/65/17,1,0,0,0,0,0
5136,66,11/30/2011,R/66/18,1,0,0,0,0,0
5187,67,11/30/2012,R/67/24,1,0,0,0,0,0
5251,68,11/26/2013,R/68/16,1,0,0,0,0,0
5319,69,11/25/2014,R/69/24,1,0,0,0,0,0
5400,70,11/24/2015,R/70/16,1,0,0,0,0,0
4779,62,12/10/2007,R/62/84,1,0,0,0,0,0
3097,41,12/5/1986,R/41/209I,0,0,0,0,0,0
3096,41,12/5/1986,R/41/209H,0,0,0,0,0,0
4240,55,10/3/2000,R/55/8,0,0,0,0,0,0
1425,28,12/3/1973,,0,0,0,0,0,0
2858,40,12/6/1985,R/40/97E,0,0,0,0,0,0
2878,40,12/2/1985,R/40/151H,0,0,1,0,0,0
2928,40,12/3/1985,R/40/201,1,0,0,0,0,0
3227,42,12/6/1987,R/42/190,1,0,0,0,0,0
3491,44,12/3/1989,R/44/174,1,0,0,0,0,0
3657,46,12/5/1991,R/46/162,1,0,0,0,0,0
3095,41,12/5/1986,R/41/209F,0,0,0,0,0,0
2929,40,12/3/1985,R/40/207,0,0,0,0,0,1
3691,47,12/4/1992,R/47/60B,0,0,0,0,0,0
3783,48,12/5/1993,R/48/84A,0,0,0,0,0,0
4199,54,12/4/1999,R/54/62,0,0,0,0,0,1
3063,41,12/5/1986,R/41/123,0,0,0,0,0,0
2870,40,12/6/1985,R/40/148,0,0,0,0,0,0
4217,54,12/5/1999,R/54/110,0,0,0,0,0,0
4300,55,12/4/2000,R/55/158,0,0,0,0,0,0
3211,42,12/2/1987,R/42/159,0,0,0,0,0,0
3991,51,12/3/1996,R/51/45P,0,0,1,0,0,0
4144,53,12/6/1998,R/53/77L,0,0,1,0,0,0
4250,55,11/3/2000,R/55/33J,0,0,1,0,0,0
4381,57,11/7/2002,R/57/62,0,0,1,0,0,0
4574,59,12/3/2004,R/59/70,0,0,1,0,0,0
4844,63,12/2/2008,R/63/53,0,0,1,0,0,0
5062,65,12/8/2010,R/65/51,0,0,1,0,0,0
5195,67,12/3/2012,R/67/35,0,0,1,0,0,0
5337,69,12/2/2014,R/69/53,0,0,1,0,0,0
3663,47,9/3/1992,R/47/1,0,0,0,0,0,0
4505,58,12/8/2003,R/58/37,0,0,1,0,0,0
4578,59,12/3/2004,R/59/67,0,0,1,0,0,0
4696,61,12/6/2006,R/61/59,0,0,1,0,0,0
4245,55,11/3/2000,R/55/33A,0,0,1,0,0,0
4386,57,11/7/2002,R/57/71,0,0,1,0,0,0
4185,54,12/4/1999,R/54/54F,0,0,1,0,0,0
4313,56,11/6/2001,R/56/24B,0,0,1,0,0,0
5388,69,12/29/2014,R/69/247,0,0,0,0,0,1
3904,50,12/4/1995,R/50/38B/VII,0,0,0,0,0,0
4801,62,12/18/2007,R/62/149,0,0,0,1,0,0
4890,63,12/18/2008,R/63/168,0,0,0,1,0,0
5100,65,12/21/2010,R/65/206,0,0,0,1,0,0
5239,67,12/20/2012,R/67/176,0,0,0,1,0,0
5376,69,12/18/2014,R/69/186,0,0,0,1,0,0
1503,28,12/2/1973,R/28/3198B,0,0,0,0,0,0
3877,50,11/5/1995,R/50/11,0,0,0,0,0,0
2799,40,11/6/1985,R/40/23,0,0,0,0,0,1
3162,42,11/2/1987,R/42/50,0,0,0,0,0,1
4385,57,11/7/2002,R/57/66,0,0,1,0,0,0
5268,68,12/5/2013,R/68/44,0,0,1,0,0,0
3003,41,12/4/1986,R/41/59K,0,0,1,0,0,0
3140,42,11/2/1987,R/42/38K,0,0,1,0,0,0
3319,43,12/4/1988,R/43/75L,0,0,1,0,0,0
3462,44,12/6/1989,R/44/116M,0,0,1,0,0,0
3670,47,11/3/1992,R/47/19,0,0,0,0,0,1
3741,48,11/4/1993,R/48/16,0,0,0,0,0,1
3804,49,10/4/1994,R/49/9,0,0,0,0,0,1
3876,50,11/5/1995,R/50/10,0,0,0,0,0,1
3964,51,11/3/1996,R/51/17,0,0,0,0,0,1
4039,52,11/4/1997,R/52/10,0,0,0,0,0,1
4108,53,10/4/1998,R/53/4,0,0,0,0,0,1
4169,54,11/3/1999,R/54/21,0,0,0,0,0,1
4241,55,11/6/2000,R/55/20,0,0,0,0,0,1
4306,56,11/4/2001,R/56/9,0,0,0,0,0,1
4374,57,11/4/2002,R/57/11,0,0,0,0,0,1
4519,58,11/4/2003,R/58/7,0,0,0,0,0,1
4664,60,11/8/2005,R/60/12,0,0,0,0,0,1
4668,61,11/8/2006,R/61/11,0,0,0,0,0,1
4833,63,10/29/2008,R/63/7,0,0,0,0,0,1
4979,64,10/28/2009,R/64/6,0,0,0,0,0,1
5049,65,10/26/2010,R/65/6,0,0,0,0,0,1
5163,66,10/25/2011,R/66/6,0,0,0,0,0,1
5181,67,11/13/2012,R/67/4,0,0,0,0,0,0
5249,68,10/29/2013,R/68/8,0,0,0,0,0,0
5313,69,10/28/2014,R/69/5,0,0,0,0,0,1
5394,70,10/27/2015,R/70/5,0,0,0,0,0,1
4754,62,10/30/2007,R/62/3,0,0,0,0,0,1
4590,59,10/28/2004,R/59/11,0,0,0,0,0,1
3085,41,12/2/1986,R/41/180,0,0,0,0,0,0
3094,41,12/5/1986,R/41/209E,0,0,0,0,0,0
5324,69,12/2/2014,R/69/32,0,0,1,0,0,0
5405,70,12/7/2015,R/70/27,0,0,1,0,0,0
4082,52,12/4/1997,R/52/71,0,0,0,0,1,0
2860,40,12/6/1985,R/40/100,0,0,0,0,0,1
3203,42,12/2/1987,R/42/145,0,0,0,0,0,1
3359,43,12/5/1988,R/43/156,0,0,0,0,0,1
3432,44,12/6/1989,R/44/56,0,0,0,0,0,1
3569,45,12/6/1990,R/45/87,0,0,0,0,0,1
3650,46,12/2/1991,R/46/95,0,0,0,0,0,1
3006,41,12/4/1986,R/41/59N,0,1,0,0,0,0
3135,42,11/2/1987,R/42/38C,0,1,0,0,0,0
3326,43,12/4/1988,R/43/76B,0,1,1,0,0,0
3469,44,12/6/1989,R/44/117D,0,1,1,0,0,0
3533,45,12/3/1990,R/45/59D,0,1,1,0,0,0
3603,46,12/6/1991,R/46/37C,0,1,1,0,0,0
3684,47,12/4/1992,R/47/53E,0,1,1,0,0,0
3132,42,11/2/1987,R/42/34B,0,1,1,0,0,0
3938,50,12/3/1995,R/50/70P,0,1,1,0,0,0
3990,51,12/3/1996,R/51/45O,0,1,1,0,0,0
4497,58,12/8/2003,R/58/56,0,1,1,0,0,0
4561,59,12/3/2004,R/59/77,0,1,1,0,0,0
4633,60,12/8/2005,R/60/70,0,1,1,0,0,0
4679,61,12/6/2006,R/61/78,0,1,1,0,0,0
4857,63,12/2/2008,R/63/46,0,1,1,0,0,0
4999,64,12/2/2009,R/64/53,0,1,1,0,0,0
5073,65,12/8/2010,R/65/56,0,1,1,0,0,0
5161,66,12/2/2011,R/66/51,0,1,1,0,0,0
5207,67,12/3/2012,R/67/60,0,1,1,0,0,0
5275,68,12/5/2013,R/68/47,0,1,1,0,0,0
5334,69,12/2/2014,R/69/48,0,1,1,0,0,0
5421,70,12/7/2015,R/70/52,0,1,1,0,0,0
3842,49,12/5/1994,R/49/75H,0,1,1,0,0,0
3930,50,12/3/1995,R/50/70C,0,1,1,0,0,0
3985,51,12/3/1996,R/51/45G,0,1,1,0,0,0
4054,52,12/3/1997,R/52/38K,0,1,1,0,0,0
4184,54,12/4/1999,R/54/54D,0,1,1,0,0,0
4152,53,12/6/1998,R/53/77X,0,1,1,0,0,0
4192,54,12/4/1999,R/54/54P,0,1,1,0,0,0
4255,55,11/3/2000,R/55/33T,0,1,1,0,0,0
4322,56,11/6/2001,R/56/24R,0,1,1,0,0,0
4392,57,11/7/2002,R/57/79,0,1,1,0,0,0
4761,62,12/5/2007,R/62/42,0,1,1,0,0,0
3928,50,12/3/1995,R/50/70A,0,1,1,0,0,0
4141,53,12/6/1998,R/53/77G,0,1,1,0,0,0
2844,40,12/5/1985,R/40/94H,0,1,1,0,0,0
2874,40,12/2/1985,R/40/151C,0,1,1,0,0,0
2876,40,12/2/1985,R/40/151E,0,1,1,0,0,0
3010,41,12/4/1986,R/41/60E,0,1,1,0,0,0
4155,53,12/6/1998,R/53/78D,0,1,1,0,0,0
4061,52,12/3/1997,R/52/39C,0,1,1,0,0,0
3982,51,12/3/1996,R/51/45B,0,1,1,0,0,0
4057,52,12/3/1997,R/52/38N,0,1,1,0,0,0
4147,53,12/6/1998,R/53/77Q,0,1,1,0,0,0
4189,54,12/4/1999,R/54/54L,0,1,1,0,0,0
4249,55,11/3/2000,R/55/33I,0,1,1,0,0,0
4316,56,11/6/2001,R/56/24G,0,1,1,0,0,0
4387,57,11/7/2002,R/57/73,0,1,1,0,0,0
4625,60,12/8/2005,R/60/58,0,1,1,0,0,0
4493,58,12/8/2003,R/58/49,0,1,1,0,0,0
4581,59,12/3/2004,R/59/85,0,1,1,0,0,0
4701,61,12/6/2006,R/61/69,0,1,1,0,0,0
4848,63,12/2/2008,R/63/65,0,1,1,0,0,0
4994,64,12/2/2009,R/64/44,0,1,1,0,0,0
5074,65,12/8/2010,R/65/58,0,1,1,0,0,0
5204,67,12/3/2012,R/67/55,0,1,1,0,0,0
5326,69,12/2/2014,R/69/35,0,1,1,0,0,0
5416,70,12/7/2015,R/70/45,0,1,1,0,0,0
4768,62,12/5/2007,R/62/35,0,1,1,0,0,0
4153,53,12/6/1998,R/53/77Y,0,1,1,0,0,0
4046,52,12/3/1997,R/52/35,0,1,1,0,0,0
2997,41,12/4/1986,R/41/59B,0,0,1,0,0,0
3138,42,11/2/1987,R/42/38I,0,0,0,0,0,0
4627,60,12/8/2005,R/60/60,0,0,1,0,0,0
3936,50,12/3/1995,R/50/70M,0,0,1,0,0,0
3984,51,12/3/1996,R/51/45E,0,0,1,0,0,0
4194,54,12/4/1999,R/54/54S,0,0,1,0,0,0
4251,55,11/3/2000,R/55/33K,0,0,1,0,0,0
4315,56,11/6/2001,R/56/24F,0,0,1,0,0,0
4383,57,11/7/2002,R/57/64,0,0,1,0,0,0
4498,58,12/8/2003,R/58/45,0,0,1,0,0,0
4577,59,12/3/2004,R/59/68,0,0,1,0,0,0
4693,61,12/6/2006,R/61/63,0,0,1,0,0,0
4763,62,12/5/2007,R/62/28,0,0,1,0,0,0
3033,41,12/4/1986,R/41/71,0,0,0,0,1,0
3362,43,12/6/1988,R/43/160B,0,0,0,0,1,0
3510,45,11/4/1990,R/45/37,0,0,0,0,1,0
3673,47,11/4/1992,R/47/29,0,0,0,0,1,0
4588,59,11/17/2004,R/59/24,0,0,0,0,0,0
5387,69,12/29/2014,R/69/245,0,0,0,0,0,0
4742,61,12/20/2006,R/61/222,0,0,0,0,0,0
4450,58,12/23/2003,R/58/240,0,0,0,0,0,0
4663,60,11/29/2005,R/60/30,0,0,0,0,0,0
4824,62,12/22/2007,R/62/215,0,0,0,0,0,0
4873,63,12/5/2008,R/63/111,0,0,0,0,0,0
5008,64,12/4/2009,R/64/71,0,0,0,0,0,0
5056,65,12/7/2010,R/65/37,0,0,0,0,0,0
5146,66,12/24/2011,R/66/231,0,0,0,0,0,0
5212,67,12/11/2012,R/67/78,0,0,0,0,0,0
5276,68,12/9/2013,R/68/70,0,0,0,0,0,0
5466,70,12/23/2015,R/70/235,0,0,0,0,0,0
3025,41,12/4/1986,R/41/69D,1,0,0,0,0,0
3170,42,12/4/1987,R/42/69D,1,0,0,0,0,0
3286,43,12/3/1988,R/43/57D,1,0,0,0,0,0
3416,44,12/6/1989,R/44/47D,1,0,0,0,0,0
3545,45,12/3/1990,R/45/73D,1,0,0,0,0,0
3612,46,12/2/1991,R/46/46D,1,0,0,0,0,0
3701,47,12/2/1992,R/47/69D,1,0,0,0,0,0
3745,48,12/6/1993,R/48/40D,1,0,0,0,0,0
3812,49,12/6/1994,R/49/35D,1,0,0,0,0,0
3886,50,12/4/1995,R/50/28D,1,0,0,0,0,0
4015,51,12/6/1996,R/51/127,1,0,0,0,0,0
4073,52,12/4/1997,R/52/60,1,0,0,0,0,0
4121,53,12/5/1998,R/53/49,1,0,0,0,0,0
4203,54,12/2/1999,R/54/72,1,0,0,0,0,0
4285,55,12/7/2000,R/55/126,1,0,0,0,0,0
4406,57,12/5/2002,R/57/120,1,0,0,0,0,0
4335,56,12/3/2001,R/56/55,1,0,0,0,0,0
2906,40,12/2/1985,R/40/165D,1,0,0,0,0,0
4448,58,12/23/2003,R/58/245,0,0,0,1,0,0
5037,64,12/21/2009,R/64/195,1,0,0,0,0,1
5095,65,12/20/2010,R/65/147,1,0,0,0,0,1
5139,66,12/22/2011,R/66/192,1,0,0,0,0,1
5242,67,12/21/2012,R/67/201,1,0,0,0,0,1
5307,68,12/20/2013,R/68/206,1,0,0,0,0,1
5382,69,12/19/2014,R/69/212,1,0,0,0,0,1
5461,70,12/22/2015,R/70/194,1,0,0,0,0,1
4744,61,12/20/2006,R/61/194,1,0,0,0,0,1
4819,62,12/19/2007,R/62/188,1,0,0,0,0,1
4899,63,12/19/2008,R/63/211,1,0,0,0,0,1
1437,28,12/1/1973,R/28/3171B,0,0,0,0,0,1
1546,29,12/3/1974,R/29/3336A,0,0,0,0,1,1
1438,28,12/1/1973,R/28/3171C,0,0,0,0,0,1
1514,29,12/2/1974,R/29/3261F,0,0,1,0,0,0
1440,28,12/1/1973,R/28/3175A,0,0,0,0,1,1
1515,29,12/2/1974,R/29/3261G,0,0,1,0,0,0
1305,27,11/7/1972,R/27/2935A,0,1,1,0,0,0
5384,69,12/19/2014,R/69/238,0,0,0,0,0,0
4487,58,12/9/2003,R/58/93,1,0,0,0,0,0
4879,63,12/5/2008,R/63/93,1,0,0,0,0,0
3813,49,12/6/1994,R/49/35E,1,0,0,0,0,0
3887,50,12/4/1995,R/50/28E,1,0,0,0,0,0
4016,51,12/6/1996,R/51/128,1,0,0,0,0,0
4074,52,12/4/1997,R/52/61,1,0,0,0,0,0
4122,53,12/5/1998,R/53/50,1,0,0,0,0,0
4204,54,12/2/1999,R/54/73,1,0,0,0,0,0
4286,55,12/7/2000,R/55/127,1,0,0,0,0,0
4336,56,12/3/2001,R/56/56,1,0,0,0,0,0
4407,57,12/5/2002,R/57/121,1,0,0,0,0,0
4558,59,12/10/2004,R/59/119,1,0,0,0,0,0
4657,60,12/8/2005,R/60/102,1,0,0,0,0,0
4797,62,12/17/2007,R/62/104,1,0,0,0,0,0
5009,64,12/10/2009,R/64/89,1,0,0,0,0,0
5080,65,12/8/2010,R/65/100,1,0,0,0,0,0
5168,66,12/9/2011,R/66/74,1,0,0,0,0,0
5215,67,12/18/2012,R/67/116,1,0,0,0,0,0
5289,68,12/11/2013,R/68/78,1,0,0,0,0,0
5353,69,12/5/2014,R/69/88,1,0,0,0,0,0
5433,70,12/9/2015,R/70/85,1,0,0,0,0,0
4708,61,12/14/2006,R/61/114,1,0,0,0,0,0
4428,57,12/5/2002,R/57/199,0,0,0,1,0,0
1340,27,12/1/1972,R/27/3040C,0,0,0,0,0,1
1339,27,12/1/1972,R/27/3040B,0,0,0,0,0,1
1338,27,12/1/1972,R/27/3040A,0,0,0,0,0,1
1532,29,9/2/1974,R/29/3323A,0,0,0,0,0,0
2907,40,12/2/1985,R/40/165E,1,0,0,0,0,0
3026,41,12/4/1986,R/41/69E,1,0,0,0,0,0
3171,42,12/4/1987,R/42/69E,1,0,0,0,0,0
4486,58,12/9/2003,R/58/94,1,0,0,0,0,0
4557,59,12/10/2004,R/59/120,1,0,0,0,0,0
4644,60,12/8/2005,R/60/103,1,0,0,0,0,0
4792,62,12/17/2007,R/62/105,1,0,0,0,0,0
4877,63,12/5/2008,R/63/94,1,0,0,0,0,0
5010,64,12/10/2009,R/64/90,1,0,0,0,0,0
5081,65,12/10/2010,R/65/101,1,0,0,0,0,0
5169,66,12/9/2011,R/66/75,1,0,0,0,0,0
5216,67,12/18/2012,R/67/117,1,0,0,0,0,0
5286,68,12/11/2013,R/68/79,1,0,0,0,0,0
5354,69,12/5/2014,R/69/89,1,0,0,0,0,0
5434,70,12/9/2015,R/70/86,1,0,0,0,0,0
4709,61,12/14/2006,R/61/115,1,0,0,0,0,0
5112,65,5/3/2011,R/65/276,0,0,0,0,0,0
2932,40,12/4/1985,R/40/243I,0,0,0,0,0,0
4514,58,12/3/2003,R/58/21,1,0,0,0,0,0
4585,59,12/1/2004,R/59/31,1,0,0,0,0,0
4659,60,12/1/2005,R/60/39,1,0,0,0,0,0
4670,61,12/1/2006,R/61/25,1,0,0,0,0,0
4837,63,11/26/2008,R/63/29,1,0,0,0,0,0
4984,64,12/2/2009,R/64/19,1,0,0,0,0,0
5050,65,11/30/2010,R/65/16,1,0,0,0,0,0
5132,66,11/30/2011,R/66/17,1,0,0,0,0,0
5186,67,11/30/2012,R/67/23,1,0,0,0,0,0
5252,68,11/26/2013,R/68/15,1,0,0,0,0,0
5318,69,11/25/2014,R/69/23,1,0,0,0,0,0
5399,70,11/24/2015,R/70/15,1,0,0,0,0,0
4782,62,12/10/2007,R/62/83,1,0,0,0,0,0
4817,62,12/19/2007,R/62/181,1,0,0,0,1,1
4898,63,12/19/2008,R/63/201,1,0,0,0,1,1
4236,54,12/4/1999,R/54/230,1,0,0,0,1,1
4746,61,12/20/2006,R/61/184,1,0,0,0,1,1
4442,57,12/7/2002,R/57/269,1,0,0,0,1,1
4451,58,12/23/2003,R/58/229,1,0,0,0,1,1
4525,59,12/22/2004,R/59/251,1,0,0,0,1,1
4601,60,12/22/2005,R/60/183,1,0,0,0,1,1
5038,64,12/21/2009,R/64/185,1,0,0,0,1,1
5144,66,12/22/2011,R/66/225,1,0,0,0,1,1
5246,67,12/21/2012,R/67/229,1,0,0,0,1,1
5306,68,12/20/2013,R/68/235,1,0,0,0,1,1
5386,69,12/19/2014,R/69/241,1,0,0,0,1,1
5463,70,12/22/2015,R/70/225,1,0,0,0,1,1
4031,51,12/2/1996,R/51/190,1,0,0,0,1,1
4304,55,12/5/2000,R/55/209,1,0,0,0,1,1
4366,56,12/7/2001,R/56/204,1,0,0,0,1,1
4427,57,12/5/2002,R/57/198,1,0,0,0,1,1
4167,53,12/3/1998,R/53/196,1,0,0,0,1,1
4105,52,12/5/1997,R/52/207,1,0,0,0,1,1
4876,63,12/5/2008,R/63/92,1,0,0,0,0,0
4491,58,12/9/2003,R/58/92,1,0,0,0,0,0
4559,59,12/10/2004,R/59/118,1,0,0,0,0,0
4643,60,12/8/2005,R/60/101,1,0,0,0,0,0
4716,61,12/14/2006,R/61/113,1,0,0,0,0,0
4791,62,12/17/2007,R/62/103,1,0,0,0,0,0
5017,64,12/10/2009,R/64/88,1,0,0,0,0,0
5093,65,12/10/2010,R/65/99,1,0,0,0,0,0
5167,66,12/9/2011,R/66/73,1,0,0,0,0,0
5214,67,12/18/2012,R/67/115,1,0,0,0,0,0
5290,68,12/11/2013,R/68/77,1,0,0,0,0,0
5352,69,12/5/2014,R/69/87,1,0,0,0,0,0
5432,70,12/9/2015,R/70/84,1,0,0,0,0,0
3905,50,12/4/1995,R/50/38B/VIII,0,0,0,0,0,0
1512,29,12/2/1974,R/29/3261D,0,0,1,0,0,0
1513,29,12/2/1974,R/29/3261E,0,0,1,0,0,0
1529,29,11/4/1974,R/29/3257C,0,0,0,0,0,0
1435,28,12/5/1973,R/28/3089D,0,0,0,0,0,0
1510,29,12/2/1974,R/29/3261B,0,0,1,0,0,0
1511,29,12/2/1974,R/29/3261C,0,0,1,0,0,0
1521,29,12/2/1974,R/29/3263A,1,1,1,0,0,0
3374,43,12/3/1988,R/43/182,0,0,0,0,0,1
4182,54,12/4/1999,R/54/54A,0,0,1,0,0,0
4246,55,11/3/2000,R/55/33B,0,0,1,0,0,0
4312,56,11/6/2001,R/56/24A,0,0,1,0,0,0
5067,65,12/8/2010,R/65/75,0,1,1,0,0,0
5200,67,12/3/2012,R/67/43,0,1,1,0,0,0
5343,69,12/2/2014,R/69/62,0,1,1,0,0,0
2832,40,12/5/1985,R/40/87,0,0,1,0,0,0
2990,41,12/4/1986,R/41/53,0,0,1,0,0,0
3130,42,11/2/1987,R/42/33,0,0,1,0,0,0
3309,43,12/4/1988,R/43/70,0,0,1,0,0,0
3450,44,12/6/1989,R/44/112,0,0,1,0,0,0
3520,45,12/3/1990,R/45/55A,0,0,1,0,0,0
3597,46,12/6/1991,R/46/33,0,0,1,0,0,0
3679,47,12/4/1992,R/47/51,0,0,1,0,0,0
3771,48,12/5/1993,R/48/74A,0,0,1,0,0,0
3836,49,12/5/1994,R/49/74,0,0,1,0,0,0
3927,50,12/3/1995,R/50/69,0,0,1,0,0,0
3980,51,12/3/1996,R/51/44,0,0,1,0,0,0
4048,52,12/3/1997,R/52/37,0,0,1,0,0,0
4181,54,12/4/1999,R/54/53,0,0,1,0,0,0
4244,55,11/3/2000,R/55/32,0,0,1,0,0,0
4311,56,11/6/2001,R/56/23,0,0,1,0,0,0
4378,57,11/7/2002,R/57/57,0,0,1,0,0,0
5404,70,12/7/2015,R/70/26,0,0,1,0,0,0
4507,58,12/8/2003,R/58/36,0,0,1,0,0,0
4623,60,12/8/2005,R/60/54,0,0,1,0,0,0
4697,61,12/6/2006,R/61/58,0,0,1,0,0,0
4862,63,12/2/2008,R/63/40,0,0,1,0,0,0
4988,64,12/2/2009,R/64/28,0,0,1,0,0,0
5058,65,12/8/2010,R/65/44,0,0,1,0,0,0
5148,66,12/2/2011,R/66/27,0,0,1,0,0,0
5190,67,12/3/2012,R/67/30,0,0,1,0,0,0
5258,68,12/5/2013,R/68/29,0,0,1,0,0,0
5323,69,12/2/2014,R/69/31,0,0,1,0,0,0
4757,62,12/5/2007,R/62/20,0,0,1,0,0,0
4579,59,12/3/2004,R/59/65,0,0,1,0,0,0
2890,40,12/2/1985,R/40/152Q,0,1,0,0,0,0
3040,41,12/5/1986,R/41/86G,0,1,0,0,0,0
3152,42,11/2/1987,R/42/42D,0,1,0,0,0,0
3335,43,12/4/1988,R/43/78F,0,1,0,0,0,0
4686,61,12/6/2006,R/61/72,0,0,1,0,0,0
4034,51,12/3/1996,R/51/205,0,0,0,0,0,0
3088,41,12/2/1986,R/41/187,0,0,0,0,0,1
2930,40,12/4/1985,R/40/239,0,0,0,0,0,0
3440,44,12/2/1989,R/44/100,0,0,0,0,1,0
2819,40,12/3/1985,R/40/64F,0,0,0,1,0,0
2963,41,11/2/1986,R/41/35D,0,0,0,1,0,0
3120,42,11/6/1987,R/42/23E,0,0,0,1,0,0
3278,43,12/2/1988,R/43/50F,0,0,0,1,0,0
3399,44,11/4/1989,R/44/27G,0,0,0,1,0,0
3582,45,12/4/1990,R/45/176E,0,0,0,1,0,0
3640,46,12/6/1991,R/46/79B,0,0,0,1,0,0
2856,40,12/6/1985,R/40/97C,0,0,0,0,0,0
2970,41,11/5/1986,R/41/39C,0,0,0,0,0,0
3107,42,11/6/1987,R/42/14C,0,0,0,0,0,0
3261,43,11/5/1988,R/43/26C,0,0,0,0,0,0
3694,47,12/6/1992,R/47/64A,1,0,0,1,0,0
5179,66,4/9/2012,R/66/257,0,0,0,0,0,0
2822,40,12/4/1985,R/40/67,0,0,0,0,0,1
3034,41,12/4/1986,R/41/73,0,0,0,0,0,1
3206,42,12/2/1987,R/42/149,0,0,0,0,0,1
3363,43,12/6/1988,R/43/162,0,0,0,0,0,1
3404,44,12/2/1989,R/44/30,0,0,0,0,0,1
3628,46,12/2/1991,R/46/52,0,0,0,0,0,1
3526,45,12/3/1990,R/45/58J,0,1,0,0,0,0
2995,41,12/4/1986,R/41/58B,0,0,1,0,0,0
2996,41,12/4/1986,R/41/58C,0,0,1,0,0,0
2838,40,12/5/1985,R/40/92A,0,0,1,0,0,0
2836,40,12/5/1985,R/40/90,0,1,1,0,0,0
2994,41,12/4/1986,R/41/56,0,1,1,0,0,0
3133,42,11/2/1987,R/42/35,0,1,1,0,0,0
3312,43,12/4/1988,R/43/72,0,1,1,0,0,0
4619,60,12/8/2005,R/60/46,0,1,1,0,0,0
5142,66,12/2/2011,R/66/21,0,1,1,0,0,0
5321,69,12/2/2014,R/69/27,0,1,1,0,0,0
4865,63,12/2/2008,R/63/36,0,1,1,0,0,0
3002,41,12/4/1986,R/41/59I,0,0,1,0,0,0
3137,42,11/2/1987,R/42/38F,0,0,1,0,0,0
3317,43,12/4/1988,R/43/75J,0,0,1,0,0,0
3455,44,12/6/1989,R/44/116A,0,1,1,0,0,0
3322,43,12/4/1988,R/43/75Q,0,0,0,0,0,0
2884,40,12/2/1985,R/40/152H,0,1,1,0,0,0
2843,40,12/5/1985,R/40/94G,0,1,0,0,0,0
3004,41,12/4/1986,R/41/59L,0,1,0,0,0,0
3141,42,11/2/1987,R/42/38L,0,1,0,0,0,0
3318,43,12/4/1988,R/43/75K,0,1,0,0,0,0
3459,44,12/6/1989,R/44/116H,0,1,0,0,0,0
3528,45,12/3/1990,R/45/58L,0,1,0,0,0,0
3599,46,12/6/1991,R/46/36D,0,1,0,0,0,0
3681,47,12/4/1992,R/47/52C,0,1,0,0,0,0
4273,55,12/3/2000,R/55/96,0,0,0,0,0,0
4277,55,12/3/2000,R/55/107,0,0,0,1,0,0
4354,56,12/5/2001,R/56/151,0,0,0,1,0,0
4430,57,12/5/2002,R/57/213,0,0,0,1,0,0
4733,61,12/19/2006,R/61/160,0,0,0,1,0,0
4883,63,12/18/2008,R/63/189,0,0,0,1,0,0
5036,64,12/18/2009,R/64/157,0,0,0,1,0,0
5106,65,12/21/2010,R/65/223,0,0,0,1,0,0
