rcid,session,date,unres,me,nu,di,hr,co,ec
2116,35,12/4/1980,R/35/206J,0,0,0,1,0,0
2017,34,12/2/1979,R/34/89,1,1,0,0,0,0
2042,34,11/2/1979,R/34/27,0,0,0,1,0,0
2023,34,11/3/1979,R/34/52C,1,0,0,0,0,0
2050,34,12/1/1979,R/34/176,0,0,0,0,0,0
1898,33,12/7/1978,R/33/114,0,0,0,0,0,0
2311,36,12/1/1981,R/36/232,0,0,0,0,0,0
1990,34,12/3/1979,R/34/93I,0,0,0,1,0,0
2329,36,12/1/1981,R/36/324,0,0,0,0,0,0
2079,34,12/4/1979,R/34/230A,0,0,0,0,0,0
2087,34,12/4/1979,R/34/233/XIV,0,0,0,0,0,0
2065,34,12/1/1979,R/34/9C,1,0,0,0,0,0
2140,35,12/7/1980,R/35/156A,0,0,1,0,0,0
2085,34,12/4/1979,R/34/233/XI,0,0,0,0,0,0
2264,36,12/6/1981,R/36/103,0,0,0,0,0,0
2068,34,12/1/1979,R/34/165,0,0,0,0,0,0
2192,35,12/5/1980,R/35/225,0,0,0,0,0,0
2280,36,12/6/1981,R/36/149B,0,0,0,0,0,0
2316,36,12/1/1981,R/36/235/IX,0,0,0,0,0,0
2207,36,12/7/1981,R/36/120A,1,0,0,1,0,0
1976,34,12/3/1979,R/34/65C,1,0,0,1,0,0
2081,34,12/4/1979,R/34/231,0,0,0,0,0,0
1937,33,12/4/1978,R/33/13B,0,0,0,0,0,0
2322,36,12/1/1981,R/36/241,0,0,0,0,0,0
2314,36,12/1/1981,R/36/235/IV,0,0,0,0,0,0
2188,35,12/5/1980,R/35/217/XV,0,0,0,0,0,0
2120,35,12/4/1980,R/35/206P,0,0,0,1,0,0
2115,35,12/4/1980,R/35/206I,0,0,0,0,0,0
2094,35,10/7/1980,R/35/6,0,0,0,0,0,0
1932,33,12/2/1978,R/33/38A,0,0,0,0,1,0
1858,33,1/5/1979,R/33/183K,0,0,0,0,0,0
1839,33,11/1/1978,R/33/15,0,0,0,0,1,0
1977,34,12/3/1979,R/34/65D,1,0,0,1,0,0
1853,33,1/5/1979,R/33/183E,0,0,0,0,0,0
1884,33,12/5/1978,R/33/91C,0,1,1,0,0,0
1841,33,12/3/1978,R/33/28A,1,0,0,0,0,0
2150,35,11/1/1980,R/35/13F,1,0,0,0,0,0
1893,33,12/7/1978,R/33/112E,1,0,0,0,0,0
1925,33,12/2/1978,R/33/175,0,0,0,1,0,0
1891,33,12/7/1978,R/33/112A,1,0,0,0,0,0
